TIMESTAMP;BALLAST;ANGULAR;LINEAR;
17/02/2025 00:30:16.919;0;1;0;
17/02/2025 00:30:21.81;0;0;0;
17/02/2025 00:30:36.919;0;1;1;
17/02/2025 00:30:39.390;0;0;0;
17/02/2025 00:30:56.930;0;0;1;
17/02/2025 00:30:58.259;0;0;0;
17/02/2025 00:31:16.940;0;0;1;
17/02/2025 00:31:18.169;0;0;0;
17/02/2025 00:35:57.65;0;0;1;
17/02/2025 00:35:58.364;0;0;0;
17/02/2025 00:37:17.209;0;1;0;
17/02/2025 00:37:18.516;0;0;0;
17/02/2025 00:37:37.117;0;1;0;
17/02/2025 00:37:38.536;0;0;0;
17/02/2025 00:37:57.127;0;1;0;
17/02/2025 00:37:58.486;0;0;0;
17/02/2025 00:38:17.137;0;1;0;
17/02/2025 00:38:18.637;0;0;0;
17/02/2025 00:38:37.158;0;1;0;
17/02/2025 00:38:38.587;0;0;0;
17/02/2025 00:38:57.178;0;1;1;
17/02/2025 00:38:58.727;0;0;0;
17/02/2025 00:39:17.168;0;1;0;
17/02/2025 00:39:18.788;0;0;0;
17/02/2025 00:39:37.195;0;1;1;
17/02/2025 00:39:38.838;0;0;0;
17/02/2025 00:39:57.213;0;1;0;
17/02/2025 00:39:59.159;0;0;0;
17/02/2025 00:40:17.466;0;1;1;
17/02/2025 00:40:19.440;0;0;0;
17/02/2025 00:40:37.210;0;1;1;
17/02/2025 00:40:38.939;0;0;0;
17/02/2025 00:40:57.220;0;0;1;
17/02/2025 00:40:58.509;0;0;0;
17/02/2025 00:41:37.241;0;1;0;
17/02/2025 00:41:39.161;0;0;0;
17/02/2025 00:41:57.241;0;1;0;
17/02/2025 00:41:59.461;0;0;0;
17/02/2025 00:42:17.251;0;1;1;
17/02/2025 00:42:21.614;0;0;0;
17/02/2025 00:42:37.262;0;0;1;
17/02/2025 00:42:38.881;0;0;0;
17/02/2025 00:42:57.460;0;0;1;
17/02/2025 00:42:58.721;0;0;0;
17/02/2025 00:48:57.468;0;1;0;
17/02/2025 00:48:59.198;0;0;0;
17/02/2025 00:49:17.478;0;1;0;
17/02/2025 00:49:18.828;0;0;0;
17/02/2025 00:49:37.479;0;1;0;
17/02/2025 00:49:38.968;0;0;0;
17/02/2025 00:49:57.489;0;1;0;
17/02/2025 00:49:59.98;0;0;0;
17/02/2025 00:50:17.499;0;1;0;
17/02/2025 00:50:18.939;0;0;0;
17/02/2025 00:50:37.509;0;1;1;
17/02/2025 00:50:39.149;0;0;0;
